This file contains a list of all transaction outputs of the cluster identified by the following root address:,,,,,,,,,,,
15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,,,,,,,,,,
The cluster is also known by the following name:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Each line represents a transaction output which is either sent to the cluster or received by the cluster.,,,,,,,,,,,
,,,,,,,,,,,
Columns:,,,,,,,,,,,
Transaction Hash: The 32 byte hash of the transaction that contains the output.,,,,,,,,,,,
Index: The zero based index of the output in the transaction.,,,,,,,,,,,
Block Height: The height of the blockchain where the transaction was confirmed.,,,,,,,,,,,
Date: The date when the transaction was confirmed.,,,,,,,,,,,
Receiving Address: If the output is received by this cluster then this will be the address in the cluster that received payment.,,,,,,,,,,,
Peer Address: If the output is sent by this cluster then this will be the address in the peer cluster that payment was sent to.,,,,,,,,,,,
Peer Cluster: The root address of the peer cluster which is being sent to or received from.,,,,,,,,,,,
Peer Name: The name of the peer cluster if it has been given a name.,,,,,,,,,,,
Peer Category: The category of the peer cluster if it has a category.,,,,,,,,,,,
Received: If the output is received by this cluster then this will be the amount received.,,,,,,,,,,,
Sent: If the output is sent from this cluster then this will be the amount sent.,,,,,,,,,,,
USD value: The approximated USD value converted by using daily average prices. 0 if the price is unknown.,,,,,,,,,,,
,,,,,,,,,,,
Transaction Hash,Index,Block Height,Date,Receiving Address,Withdrawal Address,Counterparty Root Address,Counterparty Name,Counterparty Category,Received,Sent,USD value
8cf0d2d1a4db1cbbd0c037f4bfe1405ceb663384b6fd24ebc06c3315f2afe092,0,624654,2020-04-06 9:33:32,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,13h4yuqCfpTrBQwRtZfC12F83k9kUreKuR,Rahakott.io,mixing,0.251,,1779.91
93f7568e8b40f47712a0918774dcbfa599ec06ffa34196851a456061f84f5356,0,624657,2020-04-06 9:57:46,,14LTsjvdTwCpmJ8YZVbaMBhtA2ezf9LSKc,14LTsjvdTwCpmJ8YZVbaMBhtA2ezf9LSKc,,,,0.09799255,694.89
93f7568e8b40f47712a0918774dcbfa599ec06ffa34196851a456061f84f5356,1,624657,2020-04-06 9:57:46,,192bdgb7J4T66hbz3konxV5fK12YKDxtsj,192bdgb7J4T66hbz3konxV5fK12YKDxtsj,,,,0.15297794,1084.81
96612c82556052536b53e4ea9981443b36a0c35ea4e6e5c6b8121c2a3e7cca9d,0,625783,2020-04-13 15:26:38,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,3Ak99AmfoEBoj7RahwhinU51Zffj4w6eS4,,,0.10858727,,733.08
aa85b886218fa78ff76bd492d2fc7a376088e84e6ecd8bab2a2fd805dbec2d73,0,625783,2020-04-13 15:26:38,,1MYLZRuMwnKNVE3ZDhfMUrDUQi3HZS5r9v,1MYLZRuMwnKNVE3ZDhfMUrDUQi3HZS5r9v,,,,0.01485542,100.29
aa85b886218fa78ff76bd492d2fc7a376088e84e6ecd8bab2a2fd805dbec2d73,1,625783,2020-04-13 15:26:38,,192bdgb7J4T66hbz3konxV5fK12YKDxtsj,192bdgb7J4T66hbz3konxV5fK12YKDxtsj,,,,0.09368872,632.5
7e33095e8c976d59d32b648f2dd9f6904d63a9a283d79dcff0f60ef5f85567da,0,627799,2020-04-27 5:01:20,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,3NbcMAsb2c3oBdRAdoLh2c3gAF5EnHNPEv,,,0.2435,,1878.16
c96c6ae92331e95063b171d620166281bc8b2adb12196b7396194069c84dae27,0,627812,2020-04-27 6:52:02,,3EzFKsEsP7N2C2NxER1zdajNy61nbtVz1r,18qas1ZfLxC6PN1VADhh2U2j8PDq7bKAuT,4ange.me,high risk exchange,,0.02603689,200.83
c96c6ae92331e95063b171d620166281bc8b2adb12196b7396194069c84dae27,1,627812,2020-04-27 6:52:02,,1CK8kvHLnowfnjgJcZc8nWbbLoBnAtdv8T,1CK8kvHLnowfnjgJcZc8nWbbLoBnAtdv8T,,,,0.21742225,1677.02
b5981b498f761aca60fd02f02d4275d371c3c414656154204c44310734534564,0,628999,2020-05-05 4:47:48,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,3EuW4CSFvwC94h81HUwSq1KKhdFZL4jGEd,,,0.0688,,614.32
07f3945bd6e389039497cccb5d88bb21be41b2667cf07e63342e567d7efacd35,0,629189,2020-05-06 10:30:08,,3QrGpb6akFbxkXhuVy3HpJ4fJYdHDVJVYh,18qas1ZfLxC6PN1VADhh2U2j8PDq7bKAuT,4ange.me,high risk exchange,,0.03299404,302.21
07f3945bd6e389039497cccb5d88bb21be41b2667cf07e63342e567d7efacd35,1,629189,2020-05-06 10:30:08,,1GK1QazbyJCT2yWriLEkNSbkAjuvfFQwy8,1GK1QazbyJCT2yWriLEkNSbkAjuvfFQwy8,,,,0.03566749,326.69
b6083051c5353cbfc37d14e7198012cc1c9c6d68cbb718dacc97970969badb36,0,629993,2020-05-11 17:56:43,1Q4Kabv7vmL91b1h3yQs6BkbbNZ1w9dpHP,,1EWzwbG5YAvMami9YEUUYSmAskNgNm6CMN,,,0.00091348,,7.95
5223ca23094043eb7d2845f200754b4f99ea74ff4dfc810e1f1b090899053100,0,630303,2020-05-14 5:03:45,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,3JBcceMWwqu7HDfJT5o2Sigr6McbWsQ98X,,,0.032,,306.46
4e582be29cf03236ab613c1c137f6fe8441fbf15da67df4f01710558958239ed,0,630304,2020-05-14 5:54:11,,1E16ZmMU4Gee9JW13CgdcftuWXhnL9wVgh,1E16ZmMU4Gee9JW13CgdcftuWXhnL9wVgh,,,,0.01092873,104.66
4e582be29cf03236ab613c1c137f6fe8441fbf15da67df4f01710558958239ed,1,630304,2020-05-14 5:54:11,,3QXGwbT2EGphXntwJUc5tERXtznmNBNDaB,18qas1ZfLxC6PN1VADhh2U2j8PDq7bKAuT,4ange.me,high risk exchange,,0.02153705,206.26
4691a00be0e80e564a3d60d570d4fe177b7c912c89cf600dbd6b160f6dcbaa17,0,630814,2020-05-18 9:56:24,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,358kKRPjFFjfcUNY1otD2bLMngdjZ8vJxf,,,0.1299,,1262.83
1797f7fc31d327dac258ef3dcbef51e1a1e9fdc2ba214ec8389f9d7a77125376,0,630815,2020-05-18 10:06:12,,3BzcZgQ2LC8NU4XEYyV6UEYGruBbHVg62E,18qas1ZfLxC6PN1VADhh2U2j8PDq7bKAuT,4ange.me,high risk exchange,,0.02092621,203.44
1797f7fc31d327dac258ef3dcbef51e1a1e9fdc2ba214ec8389f9d7a77125376,1,630815,2020-05-18 10:06:12,,1PPUxMLhh37DqBohfW17GeUBnm4VDjSFnM,1PPUxMLhh37DqBohfW17GeUBnm4VDjSFnM,,,,0.10863706,1056.12
48bf15cd9c8849f5e0df90de60869298b66428ba661023f1a2fec2ec5abbb72d,1,631505,2020-05-24 5:55:50,14MH3kXBUXaVp2MApYznWNrQhSNdAmnykK,,1MM6xQHmL9GjEQsKnLkaoJAatMXhvrXYWX,,,0.01407718,,128.44
8e642bb68ddaf39c1ab6014e91d708cf59f21bdc076668e0c62be45259851d54,0,631624,2020-05-25 6:06:57,15EJQz7okFrF1qUTXC4uJC7aaYSHMfr5Xr,,3GKxHFYZueDzepgjXJUBdHz57pY38oBig7,,,0.107,,943.68
